[1, 6, 9, 7, 3, 4, 5, 8, 2] 14
[1, 6, 9, 8, 2, 5, 4, 7, 3] 15
[1, 8, 9, 3, 7, 2, 5, 6, 4] 12
[1, 8, 9, 6, 4, 5, 2, 3, 7] 15
[1, 9, 6, 4, 3, 7, 8, 5, 2] 14
[1, 9, 6, 5, 2, 8, 7, 4, 3] 15
[1, 9, 8, 2, 7, 3, 6, 5, 4] 12
[1, 9, 8, 5, 4, 6, 3, 2, 7] 15
[2, 5, 8, 7, 3, 4, 6, 9, 1] 14
[2, 5, 8, 9, 1, 6, 4, 7, 3] 16
[2, 6, 9, 4, 7, 1, 5, 8, 3] 12
[2, 6, 9, 8, 3, 5, 1, 4, 7] 16
[2, 7, 9, 3, 8, 1, 4, 6, 5] 12
[2, 7, 9, 6, 5, 4, 1, 3, 8] 15
[2, 8, 5, 4, 3, 7, 9, 6, 1] 14
[2, 8, 5, 6, 1, 9, 7, 4, 3] 16
[2, 9, 6, 1, 7, 4, 8, 5, 3] 12
[2, 9, 6, 5, 3, 8, 4, 1, 7] 16
[2, 9, 7, 1, 8, 3, 6, 4, 5] 12
[2, 9, 7, 4, 5, 6, 3, 1, 8] 15
[3, 4, 7, 8, 2, 5, 6, 9, 1] 15
[3, 4, 7, 9, 1, 6, 5, 8, 2] 16
[3, 5, 8, 4, 7, 1, 6, 9, 2] 12
[3, 5, 8, 9, 2, 6, 1, 4, 7] 17
[3, 6, 9, 4, 8, 1, 2, 5, 7] 13
[3, 6, 9, 5, 7, 2, 1, 4, 8] 14
[3, 7, 4, 5, 2, 8, 9, 6, 1] 15
[3, 7, 4, 6, 1, 9, 8, 5, 2] 16
[3, 7, 8, 2, 9, 1, 4, 5, 6] 12
[3, 7, 8, 5, 6, 4, 1, 2, 9] 15
[3, 8, 5, 1, 7, 4, 9, 6, 2] 12
[3, 8, 5, 6, 2, 9, 4, 1, 7] 17
[3, 8, 7, 1, 9, 2, 5, 4, 6] 12
[3, 8, 7, 4, 6, 5, 2, 1, 9] 15
[3, 9, 6, 1, 8, 4, 5, 2, 7] 13
[3, 9, 6, 2, 7, 5, 4, 1, 8] 14
[4, 3, 9, 7, 6, 1, 2, 8, 5] 14
[4, 3, 9, 8, 5, 2, 1, 7, 6] 15
[4, 5, 6, 3, 7, 2, 8, 9, 1] 12
[4, 5, 6, 9, 1, 8, 2, 3, 7] 18
[4, 6, 5, 2, 7, 3, 9, 8, 1] 12
[4, 6, 5, 8, 1, 9, 3, 2, 7] 18
[4, 9, 3, 1, 6, 7, 8, 2, 5] 14
[4, 9, 3, 2, 5, 8, 7, 1, 6] 15
[5, 2, 8, 7, 6, 1, 3, 9, 4] 14
[5, 2, 8, 9, 4, 3, 1, 7, 6] 16
[5, 4, 6, 3, 8, 1, 7, 9, 2] 12
[5, 4, 6, 9, 2, 7, 1, 3, 8] 18
[5, 6, 4, 1, 8, 3, 9, 7, 2] 12
[5, 6, 4, 7, 2, 9, 3, 1, 8] 18
[5, 8, 2, 1, 6, 7, 9, 3, 4] 14
[5, 8, 2, 3, 4, 9, 7, 1, 6] 16
[6, 1, 7, 8, 5, 2, 3, 9, 4] 15
[6, 1, 7, 9, 4, 3, 2, 8, 5] 16
[6, 4, 5, 2, 9, 1, 7, 8, 3] 12
[6, 4, 5, 8, 3, 7, 1, 2, 9] 18
[6, 5, 4, 1, 9, 2, 8, 7, 3] 12
[6, 5, 4, 7, 3, 8, 2, 1, 9] 18
[6, 7, 1, 2, 5, 8, 9, 3, 4] 15
[6, 7, 1, 3, 4, 9, 8, 2, 5] 16
[7, 1, 4, 8, 3, 5, 6, 9, 2] 16
[7, 1, 4, 9, 2, 6, 5, 8, 3] 17
[7, 2, 3, 6, 4, 5, 8, 9, 1] 15
[7, 2, 3, 9, 1, 8, 5, 6, 4] 18
[7, 2, 5, 4, 8, 1, 6, 9, 3] 13
[7, 2, 5, 9, 3, 6, 1, 4, 8] 18
[7, 3, 2, 5, 4, 6, 9, 8, 1] 15
[7, 3, 2, 8, 1, 9, 6, 5, 4] 18
[7, 3, 6, 4, 9, 1, 2, 5, 8] 14
[7, 3, 6, 5, 8, 2, 1, 4, 9] 15
[7, 4, 1, 5, 3, 8, 9, 6, 2] 16
[7, 4, 1, 6, 2, 9, 8, 5, 3] 17
[7, 5, 2, 1, 8, 4, 9, 6, 3] 13
[7, 5, 2, 6, 3, 9, 4, 1, 8] 18
[7, 6, 3, 1, 9, 4, 5, 2, 8] 14
[7, 6, 3, 2, 8, 5, 4, 1, 9] 15
[8, 1, 3, 6, 5, 4, 7, 9, 2] 15
[8, 1, 3, 9, 2, 7, 4, 6, 5] 18
[8, 1, 4, 5, 7, 2, 6, 9, 3] 14
[8, 1, 4, 9, 3, 6, 2, 5, 7] 18
[8, 2, 5, 4, 9, 1, 3, 6, 7] 14
[8, 2, 5, 6, 7, 3, 1, 4, 9] 16
[8, 3, 1, 4, 5, 6, 9, 7, 2] 15
[8, 3, 1, 7, 2, 9, 6, 4, 5] 18
[8, 4, 1, 2, 7, 5, 9, 6, 3] 14
[8, 4, 1, 6, 3, 9, 5, 2, 7] 18
[8, 5, 2, 1, 9, 4, 6, 3, 7] 14
[8, 5, 2, 3, 7, 6, 4, 1, 9] 16
[9, 1, 2, 5, 6, 4, 7, 8, 3] 15
[9, 1, 2, 8, 3, 7, 4, 5, 6] 18
[9, 1, 4, 5, 8, 2, 3, 6, 7] 15
[9, 1, 4, 6, 7, 3, 2, 5, 8] 16
[9, 2, 1, 4, 6, 5, 8, 7, 3] 15
[9, 2, 1, 7, 3, 8, 5, 4, 6] 18
[9, 4, 1, 2, 8, 5, 6, 3, 7] 15
[9, 4, 1, 3, 7, 6, 5, 2, 8] 16
